Spectrum No.1     [   2.6496 sec]:003CALS.d / No Gas
Acquired      :,2020-02-07 15:15:40,using Batch,200207_MainInc_ME_1_a.b
Subtraction File:,---




Mass,Element,CPS,,n,SD,RSD[%],Time(Sec)
55,Mn,91621.5470304757,P,5,1435.25,1.57,0.09990
88,Sr,95927.7309924341,P,5,2099.74,2.19,0.09990
103,Rh,282472.667795441,P,5,2502.3,0.89,0.09990
115,In,2889187.03838789,A,5,15095.83,0.52,0.09990
137,Ba,14365.1733831709,P,5,236.58,1.65,0.09990
208,Pb,63641.5164718795,P,5,566.98,0.89,0.09990
238,U,117623.625830036,P,5,1634.82,1.39,0.09990


          Printed:2020-02-07 15:16:33
