Spectrum No.1     [   2.3045 sec]:008CALS.d / He
Acquired      :,2020-02-07 15:36:15,using Batch,200207_MainInc_ME_1_a.b
Subtraction File:,---




Mass,Element,CPS,,n,SD,RSD[%],Time(Sec)
24,Mg,202260.113340018,P,5,2011.53,0.99,0.09990
27,Al,89625.3956760009,P,5,1563.23,1.74,0.09990
31,P,6344.43665090373,P,5,382.35,6.03,0.09990
51,V,2323580.20147524,A,5,13942.63,0.6,0.09990
52,Cr,2904597.6828645,A,5,35671.65,1.23,0.09990
55,Mn,1857892.5536694,A,5,20066.72,1.08,0.09990
56,Fe,2488547.39723481,A,5,13988.44,0.56,0.09990
57,Fe,70602.0839719186,P,5,1321.08,1.87,0.09990
60,Ni,1484209.15687361,A,5,6130.53,0.41,0.09990
63,Cu,4003547.98507972,A,5,17613.92,0.44,0.09990
66,Zn,726957.255866569,P,5,3752.21,0.52,0.09990
75,As,477407.523518697,P,5,3108.81,0.65,0.09990
88,Sr,2495582.40074049,A,5,18954.59,0.76,0.09990
103,Rh,155852.384980808,P,5,1927.95,1.24,0.09990
115,In,713115.426243293,P,5,6021.86,0.84,0.09990


          Printed:2020-02-07 15:37:04
