Spectrum No.1     [   2.6496 sec]:102_QC1.d / He
Acquired      :,2020-02-07 22:09:41,using Batch,200207_MainInc_ME_1_a.b
Subtraction File:,---




Mass,Element,CPS,,n,SD,RSD[%],Time(Sec)
27,Al,2817.47345636039,P,5,125.96,4.47,0.09990
31,P,536.623014633827,P,5,56.02,10.44,0.09990
51,V,27802.833470289,P,5,491.8,1.77,0.09990
52,Cr,35902.9681096293,P,5,829.77,2.31,0.09990
55,Mn,20143.0945334033,P,5,679.66,3.37,0.09990
56,Fe,58233.1524878655,P,5,942.61,1.62,0.09990
57,Fe,1063.24928895249,P,5,49.76,4.68,0.09990
60,Ni,19195.0091523182,P,5,738.7,3.85,0.09990
63,Cu,45220.5649192296,P,5,1136.57,2.51,0.09990
66,Zn,19994.8822394162,P,5,483.03,2.42,0.09990
75,As,5224.86555063835,P,5,242.8,4.65,0.09990
88,Sr,26461.8596090951,P,5,512.53,1.94,0.09990
103,Rh,168223.313090323,P,5,991.1,0.59,0.09990
115,In,833275.840236975,P,5,7169.99,0.86,0.09990


          Printed:2020-02-07 22:10:32
