Spectrum No.1     [   2.6496 sec]:001SMPL.d / No Gas
Acquired      :,2020-02-07 15:07:23,using Batch,200207_MainInc_ME_1_a.b
Subtraction File:,---




Mass,Element,CPS,,n,SD,RSD[%],Time(Sec)
55,Mn,3218.01017892468,P,5,340.08,10.57,0.09990
88,Sr,324.375158810537,P,5,57.34,17.68,0.09990
103,Rh,284478.31790615,P,5,3620.93,1.27,0.09990
115,In,2893161.43451902,A,5,20634.83,0.71,0.09990
137,Ba,136.159498742258,P,5,43.41,31.88,0.09990
208,Pb,2627.25102169346,P,5,158.88,6.05,0.09990
238,U,204.236225280938,P,5,48.84,23.92,0.09990


          Printed:2020-02-07 15:08:16
