Spectrum No.1     [   2.6486 sec]:002CALB.d / No Gas
Acquired      :,2020-02-07 15:11:28,using Batch,200207_MainInc_ME_1_a.b
Subtraction File:,---




Mass,Element,CPS,,n,SD,RSD[%],Time(Sec)
55,Mn,3490.32916495365,P,5,317.14,9.09,0.09990
88,Sr,562.660059023661,P,5,132.52,23.55,0.09990
103,Rh,281832.08778487,P,5,6474.41,2.3,0.09990
115,In,2877975.95269712,A,5,34635.44,1.2,0.09990
137,Ba,88.1012760442624,P,5,52.69,59.81,0.09990
208,Pb,2549.21995229615,P,5,114.11,4.48,0.09990
238,U,202.237267183815,P,5,50.75,25.1,0.09990


          Printed:2020-02-07 15:12:21
