Spectrum No.1     [   2.3066 sec]:007CALS.d / No Gas
Acquired      :,2020-02-07 15:32:14,using Batch,200207_MainInc_ME_1_a.b
Subtraction File:,---




Mass,Element,CPS,,n,SD,RSD[%],Time(Sec)
55,Mn,10355619.2544638,A,5,49906.25,0.48,0.09990
88,Sr,11282169.3344048,A,5,88039.3,0.78,0.09990
103,Rh,283993.608604548,P,5,1756.51,0.62,0.09990
115,In,2906500.08519982,A,5,30323.14,1.04,0.09990
137,Ba,1665567.3602509,A,5,15730.07,0.94,0.09990
208,Pb,7325074.87934373,A,5,37169.56,0.51,0.09990
238,U,14181453.7041434,A,5,97929.32,0.69,0.09990


          Printed:2020-02-07 15:33:04
