Spectrum No.1     [   2.3045 sec]:009CALS.d / He
Acquired      :,2020-02-07 15:40:25,using Batch,200207_MainInc_ME_1_a.b
Subtraction File:,---




Mass,Element,CPS,,n,SD,RSD[%],Time(Sec)
24,Mg,991035.003999709,P,5,6090.35,0.61,0.09990
27,Al,438376.755844684,P,5,2829.89,0.65,0.09990
31,P,31398.6844436171,P,5,490.35,1.56,0.09990
51,V,11447434.2184672,A,5,81719.41,0.71,0.09990
52,Cr,14353287.4067929,A,5,54060.04,0.38,0.09990
55,Mn,9151681.79691662,A,5,60327.88,0.66,0.09990
56,Fe,12295116.4333213,A,5,32220.45,0.26,0.09990
57,Fe,348273.855336922,P,5,2861.77,0.82,0.09990
60,Ni,7241266.16733399,A,5,40499.54,0.56,0.09990
63,Cu,19563810.3712097,A,5,112110.91,0.57,0.09990
66,Zn,3490287.22677671,A,5,27945.87,0.8,0.09990
75,As,2312555.56785497,A,5,20868.43,0.9,0.09990
88,Sr,12339013.2035452,A,5,86783.48,0.7,0.09990
103,Rh,159019.172750774,P,5,1997.54,1.26,0.09990
115,In,700484.322928676,P,5,6217.02,0.89,0.09990


          Printed:2020-02-07 15:41:13
