Spectrum No.1     [   2.3066 sec]:103_QC2.d / He
Acquired      :,2020-02-07 22:13:53,using Batch,200207_MainInc_ME_1_a.b
Subtraction File:,---




Mass,Element,CPS,,n,SD,RSD[%],Time(Sec)
27,Al,59076.7853976978,P,5,912.07,1.54,0.09990
31,P,4661.9753181739,P,5,386.75,8.3,0.09990
51,V,1498190.73952624,A,5,7964.76,0.53,0.09990
52,Cr,1830609.89697378,A,5,22562.03,1.23,0.09990
55,Mn,1184944.93444316,P,5,14872.48,1.26,0.09990
56,Fe,1569653.94239923,A,5,23253.78,1.48,0.09990
57,Fe,43869.3106363746,P,5,1378.44,3.14,0.09990
60,Ni,923937.33056488,P,5,4391.53,0.48,0.09990
63,Cu,2418702.633056,A,5,16633.96,0.69,0.09990
66,Zn,439623.78798915,P,5,4955.24,1.13,0.09990
75,As,297224.634085823,P,5,1711.22,0.58,0.09990
88,Sr,1591216.69188914,A,5,8915.07,0.56,0.09990
103,Rh,168605.34647744,P,5,2033.78,1.21,0.09990
115,In,823996.142897775,P,5,6170.26,0.75,0.09990


          Printed:2020-02-07 22:14:41
