Spectrum No.1     [   2.6496 sec]:001SMPL.d / He
Acquired      :,2020-02-07 15:07:23,using Batch,200207_MainInc_ME_1_a.b
Subtraction File:,---




Mass,Element,CPS,,n,SD,RSD[%],Time(Sec)
24,Mg,230.265247446713,P,5,69.72,30.28,0.09990
27,Al,206.24339414133,P,5,85.13,41.28,0.09990
31,P,292.343337449052,P,5,28.67,9.81,0.09990
51,V,86.0982548078338,P,5,57.77,67.1,0.09990
52,Cr,1583.88432749544,P,5,69.87,4.41,0.09990
55,Mn,80.0924649984004,P,5,36.79,45.93,0.09990
56,Fe,9173.05945507172,P,5,428.21,4.67,0.09990
57,Fe,176.203115796897,P,5,65.5,37.17,0.09990
60,Ni,412.478819040506,P,5,88.82,21.53,0.09990
63,Cu,598.699510405884,P,5,99.46,16.61,0.09990
66,Zn,1003.18193382684,P,5,180.83,18.03,0.09990
75,As,50.0574223162333,P,5,27.42,54.77,0.09990
88,Sr,48.0553098865286,P,5,21.7,45.17,0.09990
103,Rh,160167.249498016,P,5,2237.63,1.4,0.09990
115,In,732643.555246892,P,5,2679.37,0.37,0.09990


          Printed:2020-02-07 15:08:16
