Spectrum No.1     [   2.6486 sec]:002CALB.d / He
Acquired      :,2020-02-07 15:11:28,using Batch,200207_MainInc_ME_1_a.b
Subtraction File:,---




Mass,Element,CPS,,n,SD,RSD[%],Time(Sec)
24,Mg,296.340464165188,P,5,35.82,12.09,0.09990
27,Al,240.280024281881,P,5,82.56,34.36,0.09990
31,P,362.4271230658,P,5,64.26,17.73,0.09990
51,V,112.129394817849,P,5,37.06,33.05,0.09990
52,Cr,1467.74671723068,P,5,100.29,6.83,0.09990
55,Mn,102.117141305551,P,5,19.26,18.86,0.09990
56,Fe,8722.34175495772,P,5,441.93,5.07,0.09990
57,Fe,160.185328554371,P,5,52.5,32.78,0.09990
60,Ni,458.532490947899,P,5,78,17.01,0.09990
63,Cu,1047.23408684505,P,5,110.95,10.59,0.09990
66,Zn,3268.04927570701,P,5,141.7,4.34,0.09990
75,As,44.0523133958712,P,5,35.82,81.31,0.09990
88,Sr,58.0684060974983,P,5,37.73,64.97,0.09990
103,Rh,156515.097474645,P,5,2816.52,1.8,0.09990
115,In,711885.074841482,P,5,6388.79,0.9,0.09990


          Printed:2020-02-07 15:12:21
