Spectrum No.1     [   2.6496 sec]:004CALS.d / No Gas
Acquired      :,2020-02-07 15:19:44,using Batch,200207_MainInc_ME_1_a.b
Subtraction File:,---




Mass,Element,CPS,,n,SD,RSD[%],Time(Sec)
55,Mn,174002.978294118,P,5,2917.48,1.68,0.09990
88,Sr,185011.83539623,P,5,1327.26,0.72,0.09990
103,Rh,286254.850235273,P,5,3339.8,1.17,0.09990
115,In,2900002.82254104,A,5,27776.3,0.96,0.09990
137,Ba,27407.2358602473,P,5,729.95,2.66,0.09990
208,Pb,120254.241704806,P,5,1019.41,0.85,0.09990
238,U,225260.399925763,P,5,1677.8,0.74,0.09990


          Printed:2020-02-07 15:20:37
