Spectrum No.1     [   2.3066 sec]:007CALS.d / He
Acquired      :,2020-02-07 15:32:14,using Batch,200207_MainInc_ME_1_a.b
Subtraction File:,---




Mass,Element,CPS,,n,SD,RSD[%],Time(Sec)
24,Mg,102463.272162756,P,5,1079.98,1.05,0.09990
27,Al,46313.0174406899,P,5,1049.65,2.27,0.09990
31,P,3185.96400424019,P,5,175.18,5.5,0.09990
51,V,1173619.69554071,A,5,12115.59,1.03,0.09990
52,Cr,1476284.85785373,A,5,15917.77,1.08,0.09990
55,Mn,943009.030499238,P,5,11380.02,1.21,0.09990
56,Fe,1271466.6093202,A,5,15192.56,1.19,0.09990
57,Fe,35773.1507968895,P,5,947.19,2.65,0.09990
60,Ni,779800.34318617,P,5,8266.45,1.06,0.09990
63,Cu,2030698.37684276,A,5,17555.91,0.86,0.09990
66,Zn,368556.799676142,P,5,4607.23,1.25,0.09990
75,As,240299.22630832,P,5,2331.83,0.97,0.09990
88,Sr,1260943.81345752,P,5,9243.65,0.73,0.09990
103,Rh,159911.166275377,P,5,4046.93,2.53,0.09990
115,In,718285.885582997,P,5,9041.41,1.26,0.09990


          Printed:2020-02-07 15:33:04
