Spectrum No.1     [   2.6496 sec]:102_QC1.d / No Gas
Acquired      :,2020-02-07 22:09:41,using Batch,200207_MainInc_ME_1_a.b
Subtraction File:,---




Mass,Element,CPS,,n,SD,RSD[%],Time(Sec)
55,Mn,219411.430068193,P,5,1898.17,0.87,0.09990
88,Sr,202820.35227015,P,5,1393.52,0.69,0.09990
103,Rh,286464.507150428,P,5,1038.74,0.36,0.09990
115,In,3137735.10895301,A,5,14752.62,0.47,0.09990
137,Ba,27962.7734339154,P,5,867.3,3.1,0.09990
208,Pb,105694.130837307,P,5,867.99,0.82,0.09990
238,U,199683.545652156,P,5,2672.84,1.34,0.09990


          Printed:2020-02-07 22:10:32
